# bond length distribution
# type mapping: 1=C, 2=H
# active pair cutoffs: C-C=1.900000, C-H=1.600000, H-H=0.900000
# skipped pair cutoffs: None
# bond length cutoff used for histogram: 1.900000
# number of bins: 37
# Bond length distribution (37 data points):
# Length C-C C-H H-H
0.0256756757 0.0 0.0 0.0 
0.077027027 0.0 0.0 0.0 
0.1283783784 0.0 0.0 0.0 
0.1797297297 0.0 0.0 0.0 
0.2310810811 0.0 0.0 0.0 
0.2824324324 0.0 0.0 0.0 
0.3337837838 0.0 0.0 0.0 
0.3851351351 0.0 0.0 0.0 
0.4364864865 0.0 0.0 0.0 
0.4878378378 0.0 0.0 0.0 
0.5391891892 0.0 0.0 0.0 
0.5905405405 0.0 0.0 0.0 
0.6418918919 0.0 0.0 0.0 
0.6932432432 0.0 0.0 0.0 
0.7445945946 0.0 0.0 1.0 
0.7959459459 0.0 0.0 1.0 
0.8472972973 0.0 0.0 0.0 
0.8986486486 0.0 0.0 0.0 
0.95 0.0 0.0 0.0 
1.0013513514 0.0 1.0 0.0 
1.0527027027 0.0 84.0 0.0 
1.1040540541 0.0 128.0 0.0 
1.1554054054 0.0 19.0 0.0 
1.2067567568 12.0 4.0 0.0 
1.2581081081 53.0 0.0 0.0 
1.3094594595 140.0 0.0 0.0 
1.3608108108 1312.0 0.0 0.0 
1.4121621622 5359.0 0.0 0.0 
1.4635135135 3804.0 0.0 0.0 
1.5148648649 894.0 0.0 0.0 
1.5662162162 131.0 0.0 0.0 
1.6175675676 24.0 0.0 0.0 
1.6689189189 10.0 0.0 0.0 
1.7202702703 0.0 0.0 0.0 
1.7716216216 0.0 0.0 0.0 
1.822972973 0.0 0.0 0.0 
1.8743243243 0.0 0.0 0.0 
